time,count
1489051834,12311
1489051897,12663
1489051957,13076
1489052018,13308
1489052079,13593
1489052140,13862
1489052201,14139
1489052261,14430
1489052323,14822
1489052385,15204
1489052447,16004
1489052506,16478
1489052569,16821
1489052629,17402
1489052690,17698
1489052750,18148
1489052812,19231
1489052873,19878
1489052934,20107
1489052995,20158
1489053056,20230
1489053117,20439
1489053178,20693
1489053240,20844
1489053303,21086
1489053361,21330
1489053422,21793
1489053483,22189
1489053544,22186
1489053606,21709
1489053668,21537
1489053727,21403
1489053787,21694
1489053849,21774
1489053910,21952
1489053970,22155
1489054033,22042
1489054093,22350
1489054154,22717
1489054217,23552
1489054286,24296
1489054337,24468
1489054400,24581
1489054459,24658
1489054520,24850
1489054585,25148
1489054645,25712
1489054704,26099
1489054766,26755
1489054826,26713
1489054892,26868
1489054949,27058
1489055010,27909
1489055070,28492
1489055130,28621
1489055193,29053
1489055254,29913
1489055315,30365
1489055375,30327
1489055437,30061
1489055497,30030
1489055559,32378
1489055619,32977
1489055680,32800
1489055741,32864
1489055803,33230
1489055864,33556
1489055926,33949
1489055986,33374
1489056046,32959
1489056108,32494
1489056170,32515
1489056230,32590
1489056291,33001
1489056352,33288
1489056413,33113
1489056474,33021
1489056536,33083
1489056596,33064
1489056658,33249
1489056720,34044
1489056779,34692
1489056840,34915
1489056901,35170
1489056962,34403
1489057024,33608
1489057084,33174
1489057146,32961
1489057208,32974
1489057267,32915
1489057329,32630
1489057390,32641
1489057451,32608
1489057517,34253
1489057573,33983
1489057635,33630
1489057695,33282
1489057756,33395
1489057820,33601
1489057878,33947
1489057939,34486
1489058001,34061
1489058061,33048
1489058122,32418
1489058190,32096
1489058244,32411
1489058305,33391
1489058367,33467
1489058428,33396
1489058490,32934
1489058549,32785
1489058610,32991
1489058671,32692
1489058732,32389
1489058793,32366
1489058856,32768
1489058915,32163
1489058976,31620
1489059038,31252
1489059098,31463
1489059160,31704
1489059221,31615
1489059282,33546
1489059342,34732
1489059403,35172
1489059465,35073
1489059528,34378
1489059628,34046
1489059724,33884
1489059833,34627
1489059883,34223
1489059944,34146
1489060005,34625
1489060066,35042
1489060126,35539
1489060188,35817
1489060249,35128
1489060310,34815
1489060372,34578
1489060435,34525
1489060495,34221
1489060555,34761
1489060615,34952
1489060675,34113
1489060736,33164
1489060798,32653
1489060860,33585
1489060920,33429
1489060981,33315
1489061041,33437
1489061103,33425
1489061164,33191
1489061225,35570
1489061286,38351
1489061348,39278
1489061412,39079
1489061469,38577
1489061530,37887
1489061591,37892
1489061653,37718
1489061713,36856
1489061775,36112
1489061835,36174
1489061896,35826
1489061959,35634
1489062020,35344
1489062088,35198
1489062140,36576
1489062201,36658
1489062264,36566
1489062324,37799
1489062392,37949
1489062506,38155
1489062570,40540
1489062639,42049
1489064222,45777
1489064278,45744
1489064340,45335
1489064403,45317
1489064460,44287
1489064522,43826
1489064582,44093
1489064644,44444
1489064707,45555
1489064766,44556
1489064827,45272
1489064888,45613
1489064950,45846
1489065009,46535
1489065135,48228
1489065193,47324
1489065255,49523
1489065321,47938
1489065376,49246
1489065435,46597
1489065498,46970
1489065558,46482
1489065626,46104
1489065690,46000
1489065741,46174
1489065802,46916
1489065863,46596
1489065929,48680
1489065989,47469
1489066047,49157
1489066108,48763
1489066169,49216
1489066237,50345
1489066297,48996
1489066354,53425
1489066414,52184
1489066475,54697
1489066535,54405
1489066662,55137
1489066721,53036
1489066779,57075
1489066842,59646
1489066902,57686
1489066962,60027
1489067026,59485
1489067084,59853
1489067149,62940
1489067206,60330
1489067268,62130
1489067330,63789
1489067389,61203
1489067466,61400
1489067523,58493
1489067573,59438
1489067633,56182
1489067695,58273
1489067755,56801
1489067820,56061
1489067880,56316
1489067939,55772
1489068009,58304
1489068061,56406
1489068123,58561
1489068185,56513
1489068247,57307
1489068307,55752
1489068368,54659
1489068429,56400
1489068496,54142
1489068550,54128
1489068626,55074
1489068677,53632
1489068735,53894
1489068795,51929
1489068858,52221
1489068977,48682
1489069040,49512
1489069099,50399
1489069161,48240
